% Model:              Possion.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 7 2025, 14:24
% Dimension:          2
% Nodes:              10201
% Expressions:        5
%
% Length unit:        m
% X                       Y                        u (1)                    ux (1/m)                 uxx (1/m^2)              uy (1/m)                 uyy (1/m^2)
0                         0                        0                        0                        0                        0                        0
0.010000000000000009      0                        0                        0                        0                        0.029294288551555796     -0.7057299197288618
0                         0.009999999999999993     0                        0.029297890915820576     -0.7064503925818244      0                        0
0.010000000000000009      0.009999999999999898     2.5765638952911257E-4    0.022312363844243982     -0.54267435629875        0.02231596618609275      -0.5412334147978326
0                         0.019999999999999987     0                        0.05050470692147496      -0.8455618999958665      0                        0
0.010000000000000009      0.01999999999999985      4.6276897421495416E-4    0.04207875533821451      -0.7201320262093178      0.01866223717264727      -0.309404974090965
0.020000000000000018      0                        0                        0                        0                        0.05048309236035849      -0.8441208618078577
0.019999999999999962      0.009999999999999842     4.6262488051318425E-4    0.018637021132848305     -0.31228709247786923     0.04207155145039119      -0.7172502104565902
0                         0.02999999999999998      0                        0.06824518641760331      -0.8963507523278144      0                        0
0.010000000000000009      0.02999999999999997      6.376343265596427E-4     0.059293623661142436     -0.8027054584506251      0.016289650374658692     -0.20874346357540308
0.019999999999999962      0.01999999999999985      8.541180941429435E-4     0.036187377064157866     -0.5147012938910798      0.03622339931143474      -0.5089382004184912
0.02999999999999997       0                        0                        0                        0                        0.0681767357901411       -0.894188459230886
0.02999999999999997       0.009999999999999842     6.370579349398571E-4     0.016228407863073467     -0.2130682388878249      0.059246797242781965     -0.7983818942743834
0                         0.03999999999999997      0                        0.08380164739361774      -0.9224306950815027      0                        0
0.010000000000000009      0.03999999999999998      7.918949391821031E-4     0.07458300302021095      -0.8493683136027068      0.01455513899865819      -0.1559403385451672
0.019999999999999962      0.02999999999999997      0.0011952370026105654    0.052229641298957366     -0.6365751503508277      0.03198977428789017      -0.37696965521822356
0.02999999999999997       0.019999999999999796     0.0011945166013512761    0.03188171800670573      -0.38561496608690093     0.05224766605575147      -0.6279313502563042
0.03999999999999998       0                        0                        0                        0                        0.08364310428343931      -0.9195448490900718
0.03999999999999995       0.009999999999999842     7.904538003798776E-4     0.014443434122579632     -0.16171251881455717     0.07445332164913085      -0.8435991668730352
0                         0.04999999999999997      0                        0.09776021527613848      -0.9383538239905607      0                        0
0.010000000000000009      0.04999999999999993      9.30684461561857E-4      0.0883797493376129       -0.8791008260452774      0.013199869181116385     -0.12374252859559753
0.019999999999999962      0.03999999999999998      0.001498966298552096     0.0668339196679173       -0.7141671502566815      0.02874943447745914      -0.29349652483440636
0.02999999999999997       0.029999999999999916     0.0016894756539610467    0.04661521281757801      -0.511794999250707       0.046741266568551806     -0.4988345911462573
0.03999999999999998       0.019999999999999796     0.0014966610012043051    0.028540515280708854     -0.3050304995518136      0.06679077124258354      -0.7026380104727629
0.04999999999999999       0                        0                        0                        0                        0.09745383763161096      -0.9347389904508381
0.04999999999999996       0.009999999999999842     9.278014267935535E-4     0.013023198291418459     -0.13097318891111343     0.08810952668174722      -0.8718762598829629
0                         0.05999999999999997      0                        0.11046202138288123      -0.949109301169548       0                        0
0.010000000000000009      0.05999999999999989      0.001057164748770335     0.10097277055895826      -0.8996372240127236      0.012094855721328252     -0.10205432024432248
0.019999999999999962      0.04999999999999993      0.0017735202865467843    0.08018932542077153      -0.7668200072918907      0.026157829080386753     -0.23775319361387304
0.029999999999999943      0.03999999999999998      0.0021347872107271666    0.06033006360832596      -0.6024684091693047      0.04231750616123646      -0.4049020623746502
0.03999999999999995       0.029999999999999916     0.0021327707726498746    0.04204027703557468      -0.42218117465070293     0.06043098310386594      -0.5851935026995821
0.04999999999999996       0.019999999999999796     0.0017684768066917123    0.02581911823107514      -0.2521938468102931      0.08002746395212157      -0.7523899532270946
0.06                      0                        0                        0                        0                        0.10993546314452717      -0.944754832975363
0.06                      0.009999999999999842     0.0010521168897964877    0.011838566982578791     -0.11076502059436777     0.10048976880381139      -0.8909372800004078
0                         0.06999999999999997      0                        0.12213215669802184      -0.9568719224514952      0                        0
0.010000000000000009      0.06999999999999995      0.0011734779708576443    0.11256462768373597      -0.9146540143015105      0.011167097034759169     -0.08643333179993284
0.019999999999999962      0.05999999999999989      0.0020244026188948445    0.09247613204365521      -0.8045382852571237      0.024016726669030215     -0.19836056064044527
0.02999999999999997       0.04999999999999993      0.0025397737520580924    0.0730618827886935       -0.6687763833069127      0.03867716123895812      -0.336225910681644
0.03999999999999995       0.03999999999999998      0.002710523566640629     0.05481578299913342      -0.514515677488113       0.055118146364333875     -0.4915062420917806
0.04999999999999996       0.029999999999999916     0.002534013063444789     0.03820554898323987      -0.3578405349680942      0.07308030395451245      -0.6471737553994359
0.06                      0.019999999999999796     0.002015177131373701     0.023519045926624217     -0.2157456570552725      0.09212361765529124      -0.7871726809417758
0.07                      0                        0                        0                        0                        0.12129824230184982      -0.9517592665983443
0.07                      0.009999999999999842     0.0011653944596885634    0.010816262827674145     -0.09666151665728151     0.1117818590553781       -0.9044432911556228
0                         0.07999999999999995      0                        0.13293094648400391      -0.9627414279860884      0                        0
0.010000000000000009      0.08000000000000002      0.0012811723934407367    0.12330434655058306      -0.9261027359673748      0.010371394260463587     -0.07463867272069535
0.019999999999999962      0.06999999999999995      0.0022555143444897147    0.10384358513172043      -0.8327503474126701      0.022204528362356195     -0.16918917430159652
0.02999999999999997       0.05999999999999989      0.002911250075803312     0.08489397831940407      -0.7185912060863657      0.035616354752085466     -0.2848554850504641
0.03999999999999995       0.04999999999999993      0.0032392595226383406    0.0668348725551702       -0.5867673694579736      0.0506274967644294       -0.41784096396484927
0.04999999999999996       0.03999999999999998      0.003234942147955939     0.050066395149348686     -0.4465885690867992      0.06710511062649094      -0.5580286511188461
0.06                      0.029999999999999916     0.002899583947510685     0.034906892841421386     -0.3108491333028063      0.08475836979076021      -0.692621874530996
0.07                      0.019999999999999796     0.0022403687786518097    0.021518207790664358     -0.18958676188859158     0.10321395917720713      -0.8123850956026857
0.08000000000000002       0                        0                        0                        0                        0.13168728373302274      -0.9568406765992421
0.08000000000000002       0.009999999999999842     0.0012690308035002461    0.009910623142419209     -0.08644459204053234     0.12211972083154568      -0.9143236101476493
0                         0.08999999999999993      0                        0.14297862975148526      -0.9673335903046332      0                        0
0.010000000000000009      0.08999999999999991      0.0013814196179996218    0.13330587675360622      -0.9351094711818071      0.00967781085143183      -0.06541993670770907
0.019999999999999962      0.08000000000000002      0.002469750800213529     0.11441201471108763      -0.8545803421264964      0.020642105012458223     -0.14677801113078104
0.02999999999999997       0.06999999999999995      0.0032543182493659324    0.09591775270951297      -0.7570383603194983      0.03299614535668596      -0.2454007133124918
0.03999999999999995       0.05999999999999989      0.0037263142070401213    0.0781188816718974       -0.643718904020389       0.046782166545060844     -0.35974223309727904
0.04999999999999996       0.04999999999999993      0.0038801705242287048    0.06134656740581704      -0.5198770121187266      0.06193979430954544      -0.48402733313969293
0.06                      0.03999999999999998      0.003714804903221632     0.04590489873376974      -0.3942621371077024      0.07828585415896544      -0.6092225668898692
0.07                      0.029999999999999916     0.003234147865243735     0.0320047761377379       -0.27585881483888386     0.09554242588561504      -0.7266225167815321
0.08000000000000002       0.019999999999999796     0.002446646123276047     0.01973662332272126      -0.1702997830551034      0.11340404881304579      -0.8311087698945485
0.09000000000000002       0                        0                        0                        0                        0.14120699092794853      -0.96059902862232
0.09000000000000005       0.009999999999999842     0.0013640399578483486    0.009090982221408861     -0.0788955894291199      0.13160162718009216      -0.9216733956352403
0                         0.09999999999999994      0                        0.15236877337241478      -0.9710202317236811      0                        0
0.010000000000000009      0.09999999999999987      0.0014751367221379646    0.14265900367481982      -0.9423679665550254      0.009065455345159117     -0.05802425319352267
0.019999999999999962      0.08999999999999991      0.002669339946984402     0.12427869534887406      -0.8719289206257166      0.019275306854304453     -0.12905936153912023
0.02999999999999997       0.08000000000000002      0.003572901057844702     0.10621850066158368      -0.7874314317831335      0.0307196704663365       -0.21434486995822466
0.03999999999999995       0.06999999999999995      0.004177472021515405     0.08871319532528821      -0.6891988148132953      0.0434484422373293       -0.313407728232761
0.04999999999999996       0.05999999999999989      0.004477082917690662     0.07203455423309485      -0.5801479268473742      0.05744187979069859      -0.423024822259336
0.06                      0.04999999999999993      0.004469180585421399     0.056454657935927854     -0.46599087534806927     0.07258896739282578      -0.5371977206580425
0.07                      0.03999999999999998      0.004155319332235221     0.042197057167249225     -0.35378394269898195     0.08869206434145088      -0.6488678592220225
0.08000000000000002       0.029999999999999916     0.003541181557141319     0.029401244224890558     -0.24941373525824417     0.10550352052369097      -0.7524297695558602
0.09000000000000005       0.019999999999999796     0.002635925106900524     0.018118783165421107     -0.15587772271339517     0.12277594753254985      -0.8451851394043501
0.10000000000000003       0                        0                        0                        0                        0.1499341535897383       -0.9633844603839219
0.10000000000000006       0.009999999999999842     0.0014511723128781651    0.008335353698110726     -0.07330520841664878     0.14030080450714158      -0.9271440535684352
0                         0.10999999999999993      0                        0.16117621553008118      -0.9740394743036345      0                        0
0.010000000000000009      0.10999999999999988      0.0015630601815856309    0.15143615144195557      -0.9483288353576428      0.008519132175978501     -0.051970545614228314
0.019999999999999962      0.09999999999999976      0.002856045300013255     0.13352309844186866      -0.8860105361933108      0.018065486837653813     -0.11473164444043249
0.029999999999999943      0.08999999999999991      0.0038700891681204223    0.11587152666065102      -0.8119511141913875      0.028717449072677925     -0.18937809371677924
0.03999999999999995       0.08000000000000002      0.004597347334297316     0.09867099151545142      -0.726042454619396       0.040525926897347714     -0.2759443207750536
0.04999999999999996       0.06999999999999995      0.005031763487586888     0.08214503151751551      -0.6298654475632333      0.05349353219823866      -0.37267411319173505
0.06                      0.05999999999999989      0.005169907180969921     0.06652986092893165      -0.5270645876819486      0.06755589654097854      -0.4757070153946046
0.07                      0.04999999999999993      0.005011662581957614     0.05204106614641035      -0.4228157051543775      0.0825765131413933       -0.5797637018248452
0.08000000000000002       0.03999999999999998      0.004560514656403606     0.03884134792777924      -0.32233431695222237     0.0983633452551897       -0.6797279018835667
0.09000000000000005       0.029999999999999916     0.0038233151708237335    0.027025013801977        -0.2292886601963886      0.11470247222826793      -0.7721415955346913
0.10000000000000006       0.019999999999999796     0.0028096401308243513    0.01662398173109232      -0.14510198475747416     0.13139320148758551      -0.8557478770031821
0.11000000000000004       0                        0                        0                        0                        0.15792544749474163      -0.9654053997065031
0.11000000000000007       0.009999999999999842     0.0015309842049620684    0.007626947291493741     -0.06925207093003749     0.14827181355566205      -0.9311284000577648
0                         0.11999999999999991      0                        0.16946208415912523      -0.9765512371723057      0                        0
0.010000000000000009      0.12                     0.0016457932797326383    0.15969683065957457      -0.9532978604766346      0.008027414271491826     -0.0469362918459062
0.019999999999999962      0.10999999999999976      0.003031294092733703     0.1422109324358446       -0.8976350178499893      0.016984080885838762     -0.10293722316799148
0.02999999999999997       0.09999999999999976      0.004148369207494638     0.12494198980320023      -0.8320703628310042      0.026938210769339103     -0.16894876523816071
0.03999999999999995       0.08999999999999991      0.0049896726176975265    0.10804539636864333      -0.7563014267897401      0.037938627440809114     -0.2452366006164107
0.04999999999999996       0.08000000000000002      0.005549233265017985     0.09170624568269894      -0.6711452008991543      0.04999985485489217      -0.3308836590801434
0.06                      0.06999999999999995      0.005823124656875532     0.07612699213293639      -0.5788978537451044      0.06308712822268031      -0.42344709869364294
0.07                      0.05999999999999989      0.0058100865809179395    0.06150557648106375      -0.483219145935081       0.07710805988322017      -0.5191507933201791
0.08000000000000002       0.04999999999999993      0.005511920526358627     0.048009991656979334     -0.38834100741877364     0.09191787740833551      -0.6137612052790757
0.09000000000000005       0.03999999999999998      0.004933522643528492     0.03575979252384126      -0.29789999962066815     0.10733927202189014      -0.7037541189068008
0.10000000000000006       0.029999999999999916     0.004082551919604859     0.02482203876641277      -0.21404692420153282     0.12318950592112249      -0.7871187409626828
0.11000000000000007       0.019999999999999796     0.0029688639710780825    0.015220646097713425     -0.13722789433435878     0.13930452050804643      -0.8634972183643086
0.12000000000000005       0                        0                        0                        0                        0.1652218436819866       -0.9667807502929189
0.12000000000000008       0.009999999999999842     0.0016038793993051956    0.006952056163951184     -0.06649617884743719     0.1555544215012813       -0.9338527278966751
0                         0.1299999999999999       0                        0.17727713399123673      -0.9786672319034082      0                        0
